ID,Start time,Completion time,Finding the DMP template in the TU/e Research Cockpit was easy ,The process of completing my DMP was easy ,The instructions and guidance provided by the system were clear,Did you have contact with a data steward? ,How helpful was the advice of the data steward? ,"If you could change anything about the DMP experience, what would it be? "
5,4/30/26 14:07,4/30/26 14:08,Agree,Neutral,Neutral,No,,REDACTED
6,4/30/26 14:07,4/30/26 14:09,Neutral,Agree,Disagree,No,,REDACTED
7,4/30/26 14:12,4/30/26 14:12,Agree,Agree,Agree,Yes,4,REDACTED
8,4/30/26 14:13,4/30/26 14:13,Agree,Agree,Agree,Yes,5,REDACTED
9,4/30/26 14:12,4/30/26 14:14,Agree,Agree,Agree,Yes,5,REDACTED
10,4/30/26 14:13,4/30/26 14:16,Neutral,Neutral,Neutral,Yes,5,REDACTED
11,4/30/26 14:14,4/30/26 14:16,Agree,Agree,Neutral,No,,REDACTED
12,4/30/26 14:17,4/30/26 14:17,Strongly Disagree,Strongly Disagree,Strongly Disagree,Yes,4,REDACTED
13,4/30/26 14:14,4/30/26 14:17,Disagree,Neutral,Neutral,Yes,5,REDACTED
14,4/30/26 14:17,4/30/26 14:21,Agree,Disagree,Neutral,No,,REDACTED
15,4/30/26 14:16,4/30/26 14:21,Strongly Agree,Strongly Agree,Strongly Disagree,Yes,1,REDACTED
16,4/30/26 14:20,4/30/26 14:21,Strongly Agree,Disagree,Strongly Disagree,Yes,5,REDACTED
17,4/30/26 14:16,4/30/26 14:23,Agree,Disagree,Disagree,Yes,5,REDACTED
18,4/30/26 14:22,4/30/26 14:23,Disagree,Agree,Neutral,Yes,4,REDACTED
19,4/30/26 14:26,4/30/26 14:27,Disagree,Agree,Agree,No,,REDACTED
20,4/30/26 14:28,4/30/26 14:28,Strongly Agree,Agree,Strongly Agree,Yes,5,REDACTED
